"Country or Area","Year(s)","Variant","Value"
"Colombia","2095-2100","Medium","3.811"
"Colombia","2090-2095","Medium","4.125"
"Colombia","2085-2090","Medium","4.465"
"Colombia","2080-2085","Medium","4.851"
"Colombia","2075-2080","Medium","5.287"
"Colombia","2070-2075","Medium","5.771"
"Colombia","2065-2070","Medium","6.341"
"Colombia","2060-2065","Medium","7.020"
"Colombia","2055-2060","Medium","7.879"
"Colombia","2050-2055","Medium","8.848"
"Colombia","2045-2050","Medium","9.934"
"Colombia","2040-2045","Medium","11.140"
"Colombia","2035-2040","Medium","12.463"
"Colombia","2030-2035","Medium","14.309"
"Colombia","2025-2030","Medium","16.363"
"Colombia","2020-2025","Medium","18.954"
"Colombia","2015-2020","Medium","21.891"
"Colombia","2010-2015","Medium","25.162"
"Colombia","2005-2010","Medium","26.778"
"Colombia","2000-2005","Medium","28.754"
"Colombia","1995-2000","Medium","33.200"
"Colombia","1990-1995","Medium","37.993"
"Colombia","1985-1990","Medium","48.473"
"Colombia","1980-1985","Medium","59.731"
"Colombia","1975-1980","Medium","80.187"
"Colombia","1970-1975","Medium","101.068"
"Colombia","1965-1970","Medium","114.650"
"Colombia","1960-1965","Medium","131.165"
"Colombia","1955-1960","Medium","153.409"
"Colombia","1950-1955","Medium","188.576"

